Date,Type,Price,Shares,Cash,PnL%
2023-01-18 00:00:00-05:00,BUY,133.3296356201172,74.91957773334549,10000.0,0.0
2023-02-02 00:00:00-05:00,SELL (Take Profit),148.72251892089844,74.91957773334549,11130.086088676202,11.5449826508479
2023-03-15 00:00:00-04:00,BUY,151.09268188476562,73.58368296796066,11130.086088676202,0.0
2023-04-03 00:00:00-04:00,SELL (Take Profit),164.10922241210938,73.58368296796066,12062.685233097107,8.61493777525977
2023-08-31 00:00:00-04:00,BUY,186.0476531982422,64.7663237924565,12062.685233097107,0.0
2023-09-07 00:00:00-04:00,SELL (Stop Loss),175.83766174316406,64.7663237924565,11375.970576430838,-5.487836734064534
2024-05-03 00:00:00-04:00,BUY,182.072509765625,62.41246754099413,11375.970576430838,0.0
2024-06-11 00:00:00-04:00,SELL (Take Profit),205.9519805908203,62.41246754099413,12840.117332324398,13.115363135233565
2025-05-21 00:00:00-04:00,BUY,201.86090087890625,63.54017622603593,12840.117332324398,0.0
2025-05-23 00:00:00-04:00,SELL (Stop Loss),195.04864501953125,63.54017622603593,12380.03185191335,-3.3747277604104147
2025-07-01 00:00:00-04:00,BUY,207.58441162109375,59.57408710743864,12380.03185191335,0.0
2025-08-04 00:00:00-04:00,SELL,203.11949157714844,59.57408710743864,12087.557626151254,-2.1508937058796027
